# yyyymmdd, HHMM, S, A, L, SAL, num_objects_obs, num_objects_mod, clon_obs, clat_obs, clon_mod, clat_mod
20110605 1500 -0.0000 0.0000 0.0000 0.0000 8 8 -55.2437 -43.1502 -55.2437 -43.1502
20110605 1600 0.0700 -0.0433 0.0213 0.1346 6 6 -54.7753 -43.1384 -54.1577 -43.0026
20110605 1700 0.2036 -0.0584 0.0238 0.2857 6 5 -54.2715 -43.1496 -53.0636 -42.8355
20110605 1800 0.0956 -0.1340 0.0549 0.2845 11 5 -53.8842 -43.1305 -51.9359 -42.6356
20110605 1900 -0.0231 -0.1855 0.0805 0.2890 6 5 -53.3090 -43.0477 -50.8207 -42.4033
20110605 2000 0.0500 -0.2262 0.0903 0.3666 3 4 -52.4738 -42.9517 -49.7147 -42.1342
20110605 2100 0.0385 -0.2449 0.1081 0.3915 7 4 -51.6905 -42.9524 -48.6325 -41.8330
20110605 2200 0.2514 -0.2512 0.1228 0.6254 7 4 -50.8202 -42.9564 -47.6342 -41.5234
20110605 2300 0.0085 -0.2767 0.1578 0.4431 5 4 -49.7067 -42.8261 -46.7079 -41.2076
20110606 0000 -0.2416 -0.2954 0.1741 0.7111 7 4 -48.7097 -42.6513 -45.8214 -40.8901
20110606 0100 -0.1936 -0.2684 0.1956 0.6575 6 4 -48.0629 -42.4598 -44.9727 -40.5770
20110606 0200 -0.2193 -0.2724 0.2133 0.7049 5 4 -47.2649 -42.2774 -44.1633 -40.2739
20110606 0300 -0.3706 -0.2999 0.2359 0.9064 3 4 -46.4417 -42.1978 -43.3915 -39.9789
20110606 0400 -0.2463 -0.3209 0.2587 0.8259 2 4 -45.7422 -42.1890 -42.6711 -39.6922
20110606 0500 -0.2058 -0.3628 0.2729 0.8416 3 3 -44.6959 -42.0255 -41.9907 -39.4104
20110606 0600 -0.0501 -0.3432 0.2943 0.6876 4 3 -43.7905 -41.9724 -41.3540 -39.1324
20110606 0700 0.0262 -0.3455 0.3124 0.6841 4 3 -42.5285 -41.9518 -40.7512 -38.8539
20110606 0800 -0.0830 -0.3440 0.3344 0.7614 8 2 -41.6946 -41.8947 -40.2086 -38.5747
20110606 0900 -0.1743 -0.3276 0.3617 0.8636 5 2 -40.8854 -41.7910 -39.7088 -38.2938
20110606 1000 -0.1639 -0.3034 0.3874 0.8548 5 3 -40.0558 -41.6300 -39.2784 -38.0129
20110606 1100 -0.0171 -0.3146 0.4080 0.7397 6 3 -39.3689 -41.4995 -38.8971 -37.7257
20110606 1200 -0.2007 -0.3213 0.4334 0.9554 5 2 -38.7140 -41.3356 -38.5691 -37.4457
20110606 1300 -0.1816 -0.3226 0.4584 0.9626 5 2 -38.0019 -41.2759 -38.3100 -37.1883
20110606 1400 -0.0845 -0.2598 0.4777 0.8220 8 2 -37.8463 -41.0480 -38.1057 -36.9531
20110606 1500 -0.9957 -0.2216 0.0813 1.2985 6 1 -37.5699 -40.7720 -37.8751 -36.7288
20110606 1600 -0.9283 -0.2419 0.0793 1.2494 5 1 -37.3780 -40.6315 -37.6282 -36.5164
20110606 1700 -0.7063 -0.2223 0.0776 1.0063 7 1 -37.0410 -40.3533 -37.4080 -36.3169
20110606 1800 -0.5258 -0.2323 0.0777 0.8358 4 1 -36.8615 -40.2301 -37.2376 -36.1311
20110606 1900 -0.5422 -0.2661 0.0843 0.8926 5 1 -35.9533 -40.1816 -37.1425 -35.9625
20110606 2000 -0.3220 -0.3023 0.0990 0.7233 7 1 -35.2002 -40.0490 -37.1353 -35.8133
20110606 2100 -0.6035 -0.2413 0.1034 0.9482 6 1 -34.9473 -40.2709 -37.2134 -35.6850
20110606 2200 -0.5679 -0.1988 0.1120 0.8787 10 1 -34.3879 -40.2183 -37.4432 -35.5778
20110606 2300 -0.7506 -0.1820 0.1169 1.0494 7 1 -34.1451 -40.4066 -37.9151 -35.4845
20110607 0000 -0.8738 -0.1294 0.1278 1.1309 6 1 -33.7477 -40.5206 -38.5945 -35.3860
20110607 0100 -0.9069 -0.0916 0.1391 1.1376 7 1 -33.2547 -40.5986 -39.2826 -35.2795
20110607 0200 -0.3466 -0.0384 0.7898 1.1749 7 2 -32.7708 -40.4118 -40.2618 -35.0040
20110607 0300 -0.5459 -0.0069 0.7440 1.2967 11 2 -32.7562 -40.1854 -41.6203 -34.5883
20110607 0400 -0.8330 0.0117 0.7936 1.6383 12 2 -32.8630 -39.8694 -42.9000 -34.2998
20110607 0500 -0.5736 0.0386 0.4818 1.0940 11 1 -33.4007 -39.7258 -44.2901 -34.0566
20110607 0600 -0.0527 0.1109 0.6007 0.7643 12 1 -33.8975 -39.5027 -45.6282 -33.8934
20110607 0700 0.2689 0.1256 0.6199 1.0145 15 1 -34.3300 -39.3351 -47.0587 -33.7847
20110607 0800 0.1980 0.1428 0.6290 0.9699 13 1 -34.3012 -39.3750 -48.6352 -33.7258
20110607 0900 0.4581 0.1061 0.6278 1.1920 16 1 -34.1837 -39.4591 -50.1267 -33.7311
20110607 1000 0.5058 0.1258 0.6460 1.2776 19 1 -34.2310 -39.4351 -51.3603 -33.7778
20110607 1100 0.4661 0.1651 0.6493 1.2805 22 1 -34.4859 -39.5081 -52.5032 -33.8809
20110607 1200 0.7368 0.2077 0.6284 1.5730 19 1 -35.8376 -39.5378 -53.6125 -34.0750
20110607 1300 -0.4634 0.1650 0.4138 1.0421 15 1 -37.1662 -39.6526 -54.6124 -34.3452
